"","Duration","Protocal_type","Service","flag","Predicted_class"
"1",0,"tcp","printer","REJ","anomaly"
"2",0,"tcp","printer","REJ","anomaly"
"3",2,"tcp","ftp_data","SF","normal"
"4",0,"icmp","eco_i","SF","anomaly"
"5",1,"tcp","supdup","RSTO","anomaly"
"6",0,"tcp","http","SF","normal"
"7",0,"tcp","rje","SF","normal"
"8",0,"tcp","supdup","SF","normal"
"9",0,"tcp","http","SF","normal"
"10",0,"tcp","ftp","SF","anomaly"
"11",0,"tcp","supdup","SF","anomaly"
"12",0,"tcp","rje","SF","normal"
"13",0,"tcp","printer","REJ","anomaly"
"14",0,"tcp","supdup","S0","anomaly"
"15",37,"tcp","supdup","SF","normal"
"16",0,"tcp","http","SF","normal"
"17",0,"tcp","http","SF","normal"
"18",0,"tcp","http","SF","normal"
"19",0,"udp","printer","SF","normal"
"20",0,"tcp","printer","REJ","anomaly"
"21",0,"tcp","kshell","REJ","anomaly"
"22",0,"tcp","pop_2","S0","anomaly"
"23",0,"tcp","http","SF","normal"
"24",0,"tcp","http","SF","normal"
"25",0,"tcp","courier","REJ","anomaly"
"26",0,"tcp","discard","RSTO","anomaly"
"27",0,"tcp","http","SF","normal"
"28",0,"tcp","http","SF","normal"
"29",0,"icmp","ecr_i","SF","anomaly"
"30",0,"udp","printer","SF","normal"
"31",805,"tcp","http","RSTR","normal"
"32",0,"tcp","rje","SF","normal"
"33",0,"tcp","http","SF","normal"
"34",0,"udp","printer","SF","anomaly"
"35",0,"tcp","printer","REJ","anomaly"
"36",0,"tcp","http_8001","RSTO","anomaly"
"37",0,"tcp","http","SF","normal"
"38",8,"tcp","ftp","SF","normal"
"39",0,"udp","domain_u","SF","normal"
"40",0,"tcp","ftp_data","SF","normal"
"41",0,"tcp","printer","S0","anomaly"
"42",0,"tcp","http","SF","normal"
"43",0,"tcp","http","SF","normal"
"44",0,"tcp","http","SF","normal"
"45",0,"tcp","login","REJ","anomaly"
"46",0,"tcp","http","SF","normal"
"47",0,"tcp","sunrpc","S0","anomaly"
"48",0,"tcp","http","SF","normal"
"49",0,"tcp","supdup","S0","anomaly"
"50",0,"udp","printer","SF","normal"
"51",0,"tcp","http","SF","normal"
"52",0,"tcp","http","SF","normal"
"53",0,"tcp","IRC","REJ","anomaly"
"54",0,"tcp","printer","REJ","anomaly"
"55",282,"tcp","ftp","SF","normal"
"56",0,"tcp","http","SF","normal"
"57",0,"tcp","http_8001","REJ","anomaly"
"58",0,"udp","printer","SF","normal"
"59",7428,"tcp","supdup","SF","anomaly"
"60",0,"tcp","http","SF","normal"
"61",4,"tcp","pop_2","SF","anomaly"
"62",280,"tcp","ftp_data","SF","normal"
"63",0,"tcp","http","SF","normal"
"64",0,"tcp","http","SF","normal"
"65",0,"tcp","ntp_u","REJ","anomaly"
"66",0,"tcp","http","SF","normal"
"67",0,"tcp","supdup","REJ","anomaly"
"68",0,"tcp","printer","REJ","anomaly"
"69",0,"tcp","rje","S0","anomaly"
"70",0,"tcp","http","SF","normal"
"71",0,"tcp","printer","REJ","anomaly"
"72",0,"tcp","rje","SF","anomaly"
"73",0,"tcp","http","SF","normal"
"74",0,"tcp","http","SF","normal"
"75",0,"tcp","csnet_ns","REJ","anomaly"
"76",0,"tcp","http","SF","normal"
"77",0,"tcp","http","SF","normal"
"78",8092,"tcp","supdup","SF","anomaly"
"79",0,"tcp","http","SF","normal"
"80",0,"tcp","http","SF","normal"
"81",0,"tcp","printer","REJ","anomaly"
"82",0,"tcp","printer","REJ","anomaly"
"83",0,"icmp","ecr_i","SF","anomaly"
"84",0,"tcp","http","SF","normal"
"85",0,"tcp","http","SF","normal"
"86",0,"tcp","http","SF","normal"
"87",0,"tcp","finger","RSTO","anomaly"
"88",0,"tcp","pop_2","RSTO","anomaly"
"89",0,"tcp","http","SF","normal"
"90",0,"tcp","ftp_data","SF","normal"
"91",0,"tcp","http","SF","normal"
"92",0,"tcp","http","SF","normal"
"93",0,"tcp","printer","REJ","anomaly"
"94",0,"tcp","ntp_u","REJ","anomaly"
"95",3,"tcp","pop_2","SF","anomaly"
"96",0,"tcp","rje","SF","anomaly"
"97",0,"tcp","http","SF","normal"
"98",0,"udp","domain_u","SF","normal"
"99",0,"tcp","printer","SH","anomaly"
"100",0,"tcp","urh_i","RSTO","anomaly"
"101",0,"tcp","ntp_u","S0","anomaly"
"102",0,"tcp","ftp","SF","anomaly"
"103",0,"tcp","printer","REJ","anomaly"
