"Duration","Protocol_Type","Service","Flag","Predicted_class"
0,"tcp","44","REJ","anomaly"
0,"tcp","44","REJ","anomaly"
2,"tcp","17","SF","normal"
0,"icmp","11","SF","anomaly"
1,"tcp","54","RSTO","normal"
0,"tcp","20","SF","normal"
0,"tcp","48","SF","normal"
0,"tcp","54","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","16","SF","normal"
0,"tcp","54","SF","normal"
0,"tcp","48","SF","normal"
0,"tcp","44","REJ","anomaly"
0,"tcp","54","S0","anomaly"
37,"tcp","54","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"udp","44","SF","normal"
0,"tcp","44","REJ","anomaly"
0,"tcp","27","REJ","anomaly"
0,"tcp","42","S0","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","3","REJ","anomaly"
0,"tcp","7","RSTO","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"icmp","12","SF","anomaly"
0,"udp","44","SF","normal"
805,"tcp","20","RSTR","anomaly"
0,"tcp","48","SF","normal"
0,"tcp","20","SF","normal"
0,"udp","44","SF","anomaly"
0,"tcp","44","REJ","anomaly"
0,"tcp","22","RSTO","normal"
0,"tcp","20","SF","normal"
8,"tcp","16","SF","normal"
0,"udp","9","SF","normal"
0,"tcp","17","SF","normal"
0,"tcp","44","S0","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","30","REJ","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","53","S0","anomaly"
0,"tcp","20","SF","anomaly"
0,"tcp","54","S0","anomaly"
0,"udp","44","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","24","REJ","anomaly"
0,"tcp","44","REJ","anomaly"
282,"tcp","16","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","22","REJ","anomaly"
0,"udp","44","SF","normal"
7428,"tcp","54","SF","normal"
0,"tcp","20","SF","normal"
4,"tcp","42","SF","normal"
280,"tcp","17","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","39","REJ","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","54","REJ","anomaly"
0,"tcp","44","REJ","anomaly"
0,"tcp","48","S0","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","44","REJ","anomaly"
0,"tcp","48","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","4","REJ","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
8092,"tcp","54","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","44","REJ","anomaly"
0,"tcp","44","REJ","anomaly"
0,"icmp","12","SF","anomaly"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
0,"tcp","20","SF","normal"
